,SPY,EFA,EEM,TLT,LQD
2004-04-28,79.077133,27.535904,13.169087,46.867279,52.810184
2004-04-29,78.383232,27.240604,12.735236,46.637726,52.573814
2004-04-30,77.773468,27.111784,12.464374,46.82806,52.573814
2004-05-03,78.607552,27.389242,12.589573,46.887093,52.642601
2004-05-04,78.544434,27.738052,12.83602,46.566746,52.46822
2004-05-05,79.049126,28.043261,12.867519,46.437443,52.390743
2004-05-06,78.369217,27.4487,12.600595,46.313801,52.1535
2004-05-07,77.072533,26.705503,12.317135,45.70676,51.475563
2004-05-10,76.280495,26.021763,11.722654,45.599972,51.092968
2004-05-11,76.925339,26.210039,12.070683,45.807949,51.194675
2004-05-12,77.41597,26.378494,12.074616,45.504417,51.214024
2004-05-13,77.093567,26.10104,12.04312,45.330177,50.942875
2004-05-14,77.128593,26.079233,11.725805,45.701145,51.252804
2004-05-17,76.469757,25.793848,11.256524,46.105824,51.499783
2004-05-18,76.855255,26.067339,11.59116,45.92598,51.572418
2004-05-19,76.588882,26.324987,11.911627,45.774216,51.402927
2004-05-20,76.834213,26.358683,11.838402,46.128315,51.688625
2004-05-21,76.967377,26.552902,12.032885,45.942825,51.645046
2004-05-24,77.289795,26.723345,12.220285,46.089001,51.853252
2004-05-25,78.397255,27.121695,12.489569,46.22385,51.906532
2004-05-26,78.670609,27.07214,12.440749,46.471157,52.138988
2004-05-27,79.112206,27.587423,12.637599,46.836544,52.376225
2004-05-28,79.105179,27.420952,12.610042,46.707233,52.298779
2004-06-01,79.000053,27.486361,12.522643,46.279568,52.019676
2004-06-02,79.294411,27.565622,12.522643,46.161049,51.883545
2004-06-03,78.565468,27.300064,12.244693,46.256985,52.019676
2004-06-04,79.189301,27.627064,12.425005,45.986141,51.834953
2004-06-07,80.394875,28.237478,12.854135,45.997437,51.902981
2004-06-08,80.507019,28.078936,12.675394,46.082035,51.907814
2004-06-09,79.75705,27.597351,12.388787,45.884575,51.679321
2004-06-10,80.149529,27.924339,12.402958,45.974834,51.70853
2004-06-14,79.357559,27.252497,11.925013,45.608074,51.445961
2004-06-15,79.918243,27.736063,12.155722,46.572964,52.029404
2004-06-16,79.904213,27.72616,11.992729,46.392372,52.034233
2004-06-17,79.785088,27.904522,12.05257,46.697083,52.136406
2004-06-18,79.935623,27.954075,11.984067,46.595543,52.073143
2004-06-21,79.633133,27.854979,12.039187,46.629379,52.165543
2004-06-22,80.034096,27.866871,12.166739,46.488285,52.092625
2004-06-23,80.723511,28.043261,12.383272,46.578598,52.058594
2004-06-24,80.470245,28.15226,12.432879,46.860714,52.228718
2004-06-25,80.083344,28.049196,12.558862,46.905876,52.267605
2004-06-28,79.80899,28.221632,12.451778,46.426258,51.902981
2004-06-29,80.139603,28.162174,12.54705,46.71965,52.267605
2004-06-30,80.568733,28.34054,12.726576,47.199268,52.36491
2004-07-01,79.450226,27.983805,12.567523,47.287624,52.626575
2004-07-02,79.407982,28.140373,12.566737,47.786167,52.99271
2004-07-06,78.711563,27.676613,12.432094,47.70686,52.870617
2004-07-07,78.943741,28.003622,12.594295,47.723862,52.914574
2004-07-08,78.395012,27.825251,12.41477,47.752209,52.943886
2004-07-09,78.598999,28.061102,12.48091,47.803165,52.963387
2004-07-12,78.634201,28.142353,12.448627,47.87117,53.070843
2004-07-13,78.690437,28.003622,12.50532,47.729519,52.968288
2004-07-14,78.451286,27.84507,12.38564,47.746529,52.99271
2004-07-15,77.944763,27.498243,12.321073,47.797493,52.885326
2004-07-16,77.881477,27.720207,12.456503,48.431999,53.397923
2004-07-19,77.550842,27.742027,12.437605,48.466026,53.43206
2004-07-20,78.535675,27.755877,12.490363,48.029755,53.065891
2004-07-21,77.086548,27.153399,12.34627,47.899494,53.056171
2004-07-22,77.297623,27.300064,12.34627,47.967491,52.934139
2004-07-23,76.650391,26.796677,12.133672,48.126068,53.16357
2004-07-26,76.502678,26.796677,12.021072,47.899494,53.134274
2004-07-27,77.220215,26.963144,12.250208,47.253635,52.763275
2004-07-28,77.452347,26.998821,12.246265,47.259319,52.607052
2004-07-29,77.782997,27.032513,12.322647,47.366951,52.807194
2004-07-30,77.972916,27.131601,12.263588,47.922146,53.183098
